date,year,month,chirps_count,ndvi_count,lst_count,era5_count,era5_has_skinT
2024-04,2024,4,30,2,4,1,true
2024-05,2024,5,31,2,3,1,true
2024-06,2024,6,30,2,4,1,true
2024-07,2024,7,31,2,4,1,true
2024-08,2024,8,31,2,4,1,true
2024-09,2024,9,30,2,4,1,true
2024-10,2024,10,31,2,4,1,true
2024-11,2024,11,30,1,3,1,true
2024-12,2024,12,31,2,4,1,true
2025-01,2025,1,31,2,4,1,true
2025-02,2025,2,28,2,4,1,true
2025-03,2025,3,31,2,4,1,true
2025-04,2025,4,30,2,3,1,true
2025-05,2025,5,31,2,4,1,true
2025-06,2025,6,30,2,4,1,true
2025-07,2025,7,31,2,4,1,true
2025-08,2025,8,31,2,4,1,true
2025-09,2025,9,30,2,4,1,true
2025-10,2025,10,31,1,3,1,true
2025-11,2025,11,30,2,4,1,true
2025-12,2025,12,31,2,4,1,true
2026-01,2026,1,31,2,4,1,true
2026-02,2026,2,0,1,3,0,false
